aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC

aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC

aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC

aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC
aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC
aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC
aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC
test	CVCC		ˈtest	C1VCC
test	CVCC		ˈtest	C1VCC
balderdash	CVCCVCCVC	0,3,6	ˈbȯl-dər-ˌdash	C1VCCVCCVC	_b1AOldAXrdAES.
pathologist	CVCVCVCVCC	0,2,4,6	pə-ˈthä-lə-jist	CVC1VCVCVCC	_pAXT1AAlIXJIXst.
sot	CVC	0	ˈsät	C1VC	_s1AAt.
crematorium	CCVCVCVCVVC	0,3,5,8,9	ˌkrē-mə-ˈtȯr-ē-əm	CC1VCVC1VCVVC	_kr1IYmAXt1AOrIYIXm.
autocratic	VCVCCVCVC	0,1,3,6	ˌȯ-tə-ˈkra-tik	1VCVCC1VCVC	_1AOtAXkr1AEtIXk.
leotard	CVVCVCC	0,2,3	ˈlē-ə-ˌtärd	C1VVCVCC	_l1IYIXtAArd.
porker	CVCCVC	0,3	ˈpȯr-kər	C1VCC=VC	_p1AOrk=AXr.
imam	VCVC	0,1	i-ˈmäm	VC1VC	_IHm1AAm.
adorable	VCVCVCVC	0,1,4,5	ə-ˈdȯr-ə-bəl	VC1VCVCVC	_AXd1AOrAXbAXl.
java	CVCV	0,2	ˈja-və	C1VCV	_J1AAvAX.
kismet	CVCCVC	0,3	ˈkiz-ˌmet	C1VCCVC	_k1IHsmEHt.
learned	CVCCVC	0,3	ˈlər-nəd	C1VCCC	_l1AXrnd.
trivia	CCVCVV	0,3,5	ˈtri-vē-ə	CC1VCVV	_tr1IHvIYAX.
interleave	VCCVCCVC	0,2,5	ˌin-tər-ˈlēv	VCC1VC C2VC	_IHnt1AXr ~l2IYv.
whisker	CVCCVC	0,3	ˈhwis-kər	C1VCCVC	_w1IHskAXr.
paradise	CVCVCVC	0,3,4	ˈper-ə-ˌdīs	C1VCVCVC	_p1AErIXdAYs.
requite	CVCCVC	0,2	ri-ˈkwīt	CVCC1VC	_rIXkw1AYt.
opponent	VCVCVCC	0,1,3	ə-ˈpō-nənt	VC1VCVCC	_AXp1OWnIXnt.
interconnect	VCCVCCVCVCC	0,2,5,7	ˌin-tər-kə-ˈnekt	1VCCVCCVC1VCC	_1IHntAXrkAXn1EHkt.
ringside	CVCCVC	0,3	ˈriŋ-ˌsīd	C1VC=CVC	_r1IHN=sAYd.
frankly	CCVCCCV	0,4	ˈfraŋ-klē	CC1VCC=CV	_fr1AENk=lIY.
locksmith	CVCCCVC	0,3	ˈläk-ˌsmith	C1VCCCVC	_l1AAksmIHT.
eternity	VCVCCVCV	0,1,4,6	i-ˈtər-nə-tē	VC1VCCVCV	_IHt1AXrnIXtIY.
malign	CVCVC	0,2	mə-ˈlīn	CVC1VC	_mAXl1AYn.
ensnare	VCCCVC	0,2	in-ˈsner	VCCC1VC	_EHnsn1EHr.
politburo	CVCVCCVCV	0,2,5,8	ˈpä-lət-ˌbyu̇r-(ˌ)ō	C1VCVC=CCVC1V	_p1AAlIXt=byUWr1OW.
ingratiate	VCCCVCVVC	0,2,5,7	in-ˈgrā-shē-ˌāt	VCCC1VCVVC	_IHNgr1EYSIYEYt.
incisive	VCCVCVC	0,2,4	in-ˈsī-siv	VCC1VCVC	_IHns1AYsIHv.
rhubarb	CVCVCC	0,2	ˈrü-ˌbärb	C1VCVCC	_r1UWbAArb.
flotsam	CCVCCVC	0,4	ˈflät-səm	CC1VCCVC	_fl1AAtsAXm.
regulation	CVCVCVCVC	0,2,4,6	ˌre-gyə-ˈlā-shən	CVCCVC1VCVC	_rEHgyIXl1EYSIXn.
revival	CVCVCVC	0,2,4	ri-ˈvī-vəl	CVC1VCVC	_rIXv1AYvAXl.
overreach	VCVCCVC	0,1,4	ˌō-və(r)-ˈrēch	1VCVCC1VC	_1OWvAXrr1IYC.
insole	VCCVC	0,2	ˈin-ˌsōl	1VCCVC	_1IHnsOWl.
songwriter	CVCCVCVC	0,3,5	ˈsȯŋ-ˌrī-tər	C1VCCVCVC	_s1AONrAYtAXr.
regionally	CVCCVCV	0,3,5	ˈrēj-nə-lē	C1VCVCVC=CV	_r1IYJIXnAXl=lIY.
charcoal	CVCCVC	0,3	ˈchär-ˌkōl	C1VCCVC	_C1AArkOWl.
cathedral	CVCVCCVC	0,2,4	kə-ˈthē-drəl	CVC1VCCVC	_kAXT1IYdrAXl.
vintage	CVCCVC	0,3	ˈvin-tij	C1VCCVC	_v1IHntIHJ.
sacrilege	CVCCVCVC	0,2,5	ˈsa-krə-lij	C1VCCVCVC	_s1AEkrIXlIXJ.
montage	CVCCVC	0,3	män-ˈtäzh	CVCC1VC	_mAAnt1AAZ.
fraternity	CCVCVCCVCV	0,3,6,8	frə-ˈtər-nə-tē	CCVC1VCCVCV	_frIXt1AXrnIXtIY.
daunt	CVCC	0	ˈdȯnt	C1VCC	_d1AOnt.
headwind	CVCCVCC	0,3	ˈhed-ˌwind	C1VC C2VCC	_h1EHd ~w2IHnd.
ribosome	CVCVCVC	0,2,4	ˈrī-bə-ˌsōm	C1VCVCVC	_r1AYbAXsOWm.
inexcusable	VCVCCCVCVCVC	0,1,4,7,9	ˌi-nik-ˈskyü-zə-bəl	VC=VCCCC1VCVCVC	_IHn=IHksky1UWzAXbAXl.
erg	VCC	0	ˈərg	1VCC	_1AXrg.
polygynous	CVCVCVCVC	0,2,4,6	pə-ˈli-jə-nəs	CVC1VCVCVC	_pAXl1IHJIXnIXs.
conditional	CVCCVCCVC	0,3,6	kən-ˈdish-nəl	CVCC1VCVCVC	_kAXnd1IHSIXnAXl.
razzmatazz	CVCCVCVC	0,3,5	ˌraz-mə-ˈtaz	C1VCCVCVC	_r1AEzmAXtAEz.
outfall	VCCVC	0,2	ˈau̇t-ˌfȯl	2VC C1VC	~2AWt _f1AOl.
gall	CVC	0	ˈgȯl	C1VC	_g1AOl.
fancier	CVCCVVC	0,3,5	ˈfan(t)-sē-ər	C1VCCVVC	_f1AEnsIYAXr.
sirloin	CVCCVC	0,3	ˈsər-ˌlȯin	C1VCCVC	_s1AXrlOYn.
collar	CVCVC	0,2	ˈkä-lər	C1VCVC	_k1AAlAXr.
desirability	CVCVCVCVCVCV	0,2,4,6,8,10	di-ˌzī-rə-ˈbi-lə-tē	CVC1VCVC1VCVCV	_dIHz1AYrIXb1IHlIXtIY.
patron	CVCCVC	0,2	ˈpā-trən	C1VCCVC	_p1EYtrIXn.
projector	CCVCVCCVC	0,3,6	prə-ˈjek-tər	CCVC1VCCVC	_prAXJ1EHktAXr.
sportsman	CCVCCCCVC	0,6	ˈspȯrts-mən	CC1VCCCCVC	_sp1AOrtsmAXn.
debutante	CVCVCVCC	0,2,4	ˈde-byu̇-ˌtänt	C1VCCVCVCC	_d1EHbyIXtAAnt.
vandal	CVCCVC	0,3	ˈvan-dəl	C1VCCVC	_v1AEndAXl.
jam	CVC	0	ˈjam	C1VC	_J1AEm.
algeria	VCCVCVV	0,2,5,6	al-ˈjir-ē-ə	VCC1VCVV	_AElJ1IYrIYAX.
twin	CCVC	0	ˈtwin	CC1VC	_tw1IHn.
crabby	CCVCV	0,3	ˈkra-bē	CC1VCV	_kr1AEbIY.
chuckle	CVCVC	0,2	ˈchə-kəl	C1VCVC	_C1UXkAXl.
metropolis	CVCCVCVCVC	0,2,5,7	mə-ˈträ-p(ə-)ləs	CVCC1VCVCVC	_mAXtr1AApAXlIXs.
amusement	VCVCCVCC	0,1,4	ə-ˈmyüz-mənt	V=CC1VC=CVCC	_AX=my1UWz=mIXnt.
infirmary	VCCVCCCV	0,2,6	in-ˈfərm-rē	VCC1VCCVCCV	_IHnf1AXrmAXrrIY.
expansion	VCCCVCCVC	0,2,6	ik-ˈspan(t)-shən	VCCC1VCCVC	_IHksp1AEnSIXn.
option	VCCVC	0,2	ˈäp-shən	1VCCVC	_1AApSIXn.
zionism	CVVCVCVC	0,2,3,5	ˈzī-ə-ˌni-zəm	C1VVCVCVC	_z1AYIXnIHzAXm.
deposition	CVCVCVCVC	0,2,4,6	ˌde-pə-ˈzi-shən	C1VCVC1VCVC	_d1EHpAXz1IHSIXn.
belly	CVCV	0,2	ˈbe-lē	C1VCV	_b1EHlIY.
fop	CVC	0	ˈfäp	C1VC	_f1AAp.
miraculous	CVCVCVCVC	0,2,4,6	mə-ˈra-kyə-ləs	CVCC1VCCVCVC	_mAXrr1AEkyIXlIXs.
upheaval	VCCVCVC	0,2,4	ˌəp-ˈhē-vəl	VCC1VCVC	_UXph1IYvAXl.
drunken	CCVCCVC	0,4	ˈdrəŋ-kən	CC1VCCVC	_dr1UXNkIXn.
valhalla	CVCCVCV	0,3,5	val-ˈha-lə	CVCC1VCV	_vAElh1AElAX.
congo	CVCCV	0,3	ˈkäŋ-(ˌ)gō	C1VCCV	_k1AANgOW.
infective	VCCVCCVC	0,2,5	in-ˈfek-tiv	VCC1VCCVC	_IHnf1EHktIHv.
incur	VCCVC	0,2	in-ˈkər	VCC1VC	_IHnk1AXr.
luxury	CVCCVCV	0,3,5	ˈlək-sh(ə-)rē	C1VCCVCCV	_l1UXkSAXrrIY.
subroutine	CVCCVCVC	0,3,5	ˈsəb-(ˌ)rü-ˌtēn	C1VCCVCVC	_s1UXbrUWtIYn.
agenda	VCVCCV	0,1,4	ə-ˈjen-də	VC1VCCV	_AXJ1EHndAX.
disfigure	CVCCVCVC	0,3,5	dis-ˈfi-gyər	CVCC1VCCVC	_dIHsf1IHgyAXr.
capable	CVCVCVC	0,2,4	ˈkā-pə-bəl	C1VCVCVC	_k1EYpAXbAXl.
dozy	CVCV	0,2	ˈdō-zē	C1VCV	_d1AOzIY.
clockwise	CCVCCVC	0,4	ˈkläk-ˌwīz	CC1VCCVC	_kl1AAkwAYz.
ogle	VCVC	0,1	ˈō-gəl	1VCVC	_1OWgAXl.
midway	CVCCV	0,3	ˈmid-ˌwā	C1VCCV	_m1IHdwEY.
triumph	CCVVCC	0,3	ˈtrī-əm(p)f	CC1VVCC	_tr1AYIXmf.
evenhanded	VCVCCVCCVC	0,1,4,7	ˌē-vən-ˈhan-dəd	1VCVC C2VCCVC	_1IYvIXn ~h2AEndIXd.
breathe	CCVC	0	ˈbrēth	CC1VC	_br1IYD.
establishment	VCCVCCVCCVCC	0,1,4,8	i-ˈsta-blish-mənt	VCC1VC=CVC=CVCC	_IHst1AEb=lIHS=mIXnt.
engine	VCCVC	0,2	ˈen-jən	1VCCVC	_1EHnJIXn.
billing	CVCVC	0,2	ˈbi-liŋ	C1VC=VC	_b1IHl=IHN.
nude	CVC	0	ˈnüd	C1VC	_n1UWd.
thievish	CVCVC	0,2	ˈthē-vish	C1VCVC	_T1IYvIHS.
elasticity	VCVCCVCVCV	0,1,4,6,8	i-ˌlas-ˈti-sə-tē	1VCVCC1VCVCV	_1IYlAEst1IHsIXtIY.
swiftlet	CCVCCCVC	0,5	ˈswif(t)-lət	CC1VCC C2VC	_sw1IHft ~l2EHt.
truffle	CCVCVC	0,3	ˈtrə-fəl	CC1VCVC	_tr1UXfAXl.
dissolve	CVCVCC	0,2	di-ˈzälv	CVC1VCC	_dIXz1AOlv.
gamesmanship	CVCCCVCCVC	0,4,7	ˈgāmz-mən-ˌship	C1VCCCVCCVC	_g1EYmzmAXnSIHp.
their	CVC	0	thər	C1VC	~D1EHr.
tuft	CVCC	0	ˈtəft	C1VCC	_t1UXft.
recent	CVCVCC	0,2	ˈrē-sənt	C1VCVCC	_r1IYsIXnt.
deflection	CVCCVCCVC	0,2,6	di-ˈflek-shən	CVCC1VCCVC	_dIHfl1EHkSIXn.
abbot	VCVC	0,1	ˈa-bət	1VCVC	_1AEbAXt.
orphan	VCCVC	0,2	ˈȯr-fən	1VCCVC	_1AOrfAXn.
counterpoint	CVCCVCCVCC	0,3,6	ˈkau̇n-tər-ˌpȯint	C1VCCVCCVCC	_k1AWntAXrpOYnt.
decode	CVCVC	0,2	(ˌ)dē-ˈkōd	C1VC1VC	_d1IYk1OWd.
ulceration	VCCVCVCVC	0,2,4,6	ˌəl-sə-ˈrā-shən	1VCCVCC1VCVC	_1UXlsAXrr1EYSIXn.
flatter	CCVCVC	0,3	ˈfla-tər	CC1VCVC	_fl1AEtAXr.
antipathy	VCCVCVCV	0,2,4,6	an-ˈti-pə-thē	VCC1VCVCV	_AEnt1IHpAXTIY.
conspire	CVCCCVVC	0,3,6	kən-ˈspī(-ə)r	CVCCC1VVC	_kAXnsp1AYAXr.
workfare	CVCCCVC	0,4	ˈwərk-ˌfer	C1VCCCVC	_w1AXrkfEHr.
wholesome	CVCCVC	0,3	ˈhōl-səm	C1VCCVC	_h1OWlsAXm.
memorable	CVCCVCVC	0,3,5	ˈmem-rə-bəl	C1VCVCCVCVC	_m1EHmAXrrAXbAXl.
advantage	VCCVCCVC	0,2,5	əd-ˈvan-tij	VCC1VCCVC	_AXdv1AEntIHJ.
misadventure	CVCVCCVCCVC	0,2,5,8	ˌmi-səd-ˈven-chər	CVCVCC1VCCVC	_mIHsIXdv1EHnCAXr.
highland	CVCVCC	0,2	ˈhī-lənd	C1VCVCC	_h1AYlIXnd.
baluster	CVCVCCVC	0,2,4	ˈba-lə-stər	C1VCVCCVC	_b1AElIXstAXr.
palisade	CVCVCVC	0,2,4	ˌpa-lə-ˈsād	CVCVC1VC	_pAElIXs1EYd.
colloquium	CVCVCCVVC	0,2,4,7	kə-ˈlō-kwē-əm	CVC1VCCVVC	_kAXl1OWkwIYIXm.
rarity	CVCVCV	0,3,4	ˈrer-ə-tē	C1VCVCV	_r1EHrIXtIY.
soak	CVC	0	ˈsōk	C1VC	_s1OWk.
considered	CVCCVCVCC	0,3,5	kən-ˈsi-dərd	CVCC1VCVCC	_kAXns1IHdAXrd.
construction	CVCCCCVCCVC	0,3,8	kən-ˈstrək-shən	CVCCCC1VCCVC	_kAXnstr1UXkSIXn.
clausal	CCVCVC	0,3	ˈklȯ-zəl	CC1VCVC	_kl1AOzAXl.
vagabond	CVCVCVCC	0,2,4	ˈva-gə-ˌbänd	C1VCVCVCC	_v1AEgAXbAAnd.
whitebait	CVCCVC	0,3	ˈhwīt-ˌbāt	C1VC C2VC	_w1AYt ~b2EYt.
break	CCVC	0	ˈbrāk	CC1VC	_br1EYk.
clannish	CCVCVC	0,3	ˈkla-nish	CC1VCVC	_kl1AEnIHS.
unnatural	VCCVCVCVC	0,2,4,6	ˌən-ˈna-chə-rəl	1VCC1VCVCCVC	_1UXnn1AECAXrrAXl.
atop	VCVC	0,1	ə-ˈtäp	VC1VC	_AXt1AAp.
hounds	CVCCC	0	ˈhau̇n(d)z	C1VCCC	_h1AWndz.
intend	VCCVCC	0,2	in-ˈtend	VCC1VCC	_IHnt1EHnd.
erstwhile	VCCCCCVVC	0,4,7	ˈərst-ˌ(h)wī(-ə)l	1VCCCCVC	_1AXrstwAYl.
gaily	CVCV	0,2	ˈgā-lē	C1VCV	_g1EYlIY.
pastry	CVCCCV	0,3	ˈpās-trē	C1VCCCV	_p1EYstrIY.
rant	CVCC	0	ˈrant	C1VCC	_r1AEnt.
terrazzo	CVCVCV	0,2,4	tə-ˈra-(ˌ)zō	CVCC1VCV	_tAXrr1AEzOW.
aid	VC	0	ˈād	1VC	_1EYd.
end	VCC	0	ˈend	1VCC	_1EHnd.
quantum	CCVCCVC	0,4	ˈkwän-təm	CC1VCCVC	_kw1AAntAXm.
untangle	VCCVCCVC	0,2,5	ˌən-ˈtaŋ-gəl	1VCC1VCCVC	_1UXnt1AENgAXl.
rift	CVCC	0	ˈrift	C1VCC	_r1IHft.
slag	CCVC	0	ˈslag	CC1VC	_sl1AEg.
extractive	VCCCCVCCVC	0,2,7	ik-ˈstrak-tiv	VCCCC1VCC 2VC	_IHkstr1AEkt ~2AYv.
flirt	CCVCC	0	ˈflərt	CC1VCC	_fl1AXrt.
breadwinner	CCVCCVCVC	0,4,6	ˈbred-ˌwi-nər	CC1VC C2VCVC	_br1EHd ~w2IHnAXr.
lopsided	CVCCVCVC	0,3,5	ˈläp-ˌsī-dəd	C1VCCVCVC	_l1AApsAYdIXd.
macroscopic	CVCCVCCVCVC	0,2,5,8	ˌma-krə-ˈskä-pik	C1VCCVCC1VCVC	_m1AEkrAXsk1AApIHk.
exhilarate	VCCVCVCVC	0,2,4,6	ig-ˈzi-lə-ˌrāt	VCC1VCVCCVC	_IHgz1IHlAXrrEYt.
qualification	CCVCVCVCVCVC	0,3,5,7,9	ˌkwä-lə-fə-ˈkā-shən	CCVCVCVC1VCVC	_kwAAlIXfIHk1EYSIXn.
stratus	CCCVCVC	0,4	ˈstrā-təs	CCC1VCVC	_str1AAtIXs.
retrieve	CVCCVC	0,2	ri-ˈtrēv	CVCC1VC	_rIXtr1IYv.
perpetuity	CVCCVCVVCV	0,3,5,7,8	ˌpər-pə-ˈtü-ə-tē	CVCCVC1VVCV	_pAXrpAXt1UWIXtIY.
octagon	VCCVCVC	0,2,4	ˈäk-tə-ˌgän	1VCCVCVC	_1AAktAXgAAn.
heavyweight	CVCVCVC	0,2,4	ˈhe-vē-ˌwāt	C1VCVCVC	_h1EHvIYwEYt.
terrestrial	CVCVCCCVVC	0,2,5,8	tə-ˈres-t(r)ē-əl;	CVCC1VCCCVVC	_tAXrr1EHstrIYIXl.
inuit	VCVCVC	0,1,3	ˈi-nü-wət	1VCVVC	_1IHnUWIXt.
tomography	CVCVCCVCV	0,2,4,7	tō-ˈmä-grə-fē	CVC1VCCVCV	_tAXm1AAgrAXfIY.
exacerbate	VCCVCVCCVC	0,2,4,7	ig-ˈza-sər-ˌbāt	VCC1VCVCCVC	_IHgz1AEsAXrbEYt.
prattle	CCVCVC	0,3	ˈpra-təl	CC1VCVC	_pr1AEtAXl.
chivalrous	CVCVCCVC	0,2,5	ˈshi-vəl-rəs	C1VCVCCVC	_S1IHvAXlrIXs.
gravestone	CCVCCCVC	0,4	ˈgrāv-ˌstōn	CC1VCCCVC	_gr1EYvstOWn.
linkup	CVCCVC	0,3	ˈliŋ-ˌkəp	C1VCC=VC	_l1IHNk=UXp.
qatar	CVCVC	0,2	ˈkä-tər	C1VCVC	_k1AAtAAr.
freehand	CCVCVCC	0,3	ˈfrē-ˌhand	CC1VCVCC	_fr1IYhAEnd.
sensor	CVCCVC	0,3	ˈsen-ˌsȯr	C1VCCVC	_s1EHnsAXr.
pavement	CVCCVCC	0,3	ˈpāv-mənt	C1VCCVCC	_p1EYvmIXnt.
steed	CCVC	0	ˈstēd	CC1VC	_st1IYd.
eloquence	VCVCCVCC	0,1,3	ˈe-lə-kwən(t)s	1VCVCCVCC	_1EHlAXkwIXns.
humid	CVCVC	0,2	ˈhyü-məd	CC1VCVC	_hy1UWmIHd.
stowaway	CCVVCV	0,3,4	ˈstō-ə-ˌwā	CC1VVCV	_st1OWAXwEY.
roundish	CVCCVC	0,3	ˈrau̇n-dish	C1VCC=VC	_r1AWnd=IXS.
hooked	CVCC	0	ˈhu̇kt	C1VCC	_h1UHkt.
eyepiece	VCVC	0,1	ˈī-ˌpēs	1VCVC	_1AYpIYs.
subfamily	CVCCVCCV	0,3,6	ˈsəb-ˌfam-lē	C1VCCVCVCV	_s1UXbfAEmAXlIY.
bissau	CVCV	0,2	bi-ˈsau̇	CVC1V	_bIHs1AW.
ageless	VCCVC	0,2	ˈāj-ləs	1VCCVC	_1EYJlIXs.
edification	VCVCVCVCVC	0,1,3,5,7	ˌe-də-fə-ˈkā-shən	VCVCVC1VCVC	_EHdIXfIHk1EYSIXn.
aspersion	VCCVCCVC	0,1,5	ə-ˈspər-zhən	VCC1VCCVC	_AXsp1AXrZIXn.
myrrh	CVC	0	ˈmər	C1VC	_m1AXr.
stellar	CCVCVC	0,3	ˈste-lər	CC1VCVC	_st1EHlAXr.
diacritical	CVVCCVCVCVC	0,2,3,6,8	ˌdī-ə-ˈkri-ti-kəl	C1VVCC1VCVCVC	_d1AYIXkr1IHtIHkAXl.
elate	VCVC	0,1	i-ˈlāt	VC1VC	_IHl1EYt.
paragon	CVCVCVC	0,3,4	ˈper-ə-ˌgän	C1VCVCVC	_p1AErAXgAAn.
swell	CCVC	0	ˈswel	CC1VC	_sw1EHl.
prostitute	CCVCCVCVC	0,4,6	ˈpräs-tə-ˌtüt	CC1VCCVCVC	_pr1AAstIXtUWt.
dossier	CVCV	0,3	ˈdȯs-ˌyā	C1VCVV	_d1AAsIYEY.
characteristic	CVCVCCVCVCCVC	0,3,5,7,10	ˌker-ik-tə-ˈris-tik	CVCVCCVCC1VCCVC	_kAErIHktAXrr1IHstIHk.
satisfy	CVCVCCV	0,2,5	ˈsa-təs-ˌfī	C1VCVCCV	_s1AEtIXsfAY.
moses	CVCVC	0,2	ˈmō-zəz	C1VCVC	_m1OWzIXz.
milt	CVCC	0	ˈmilt	C1VCC	_m1IHlt.
erosion	VCVCVC	0,1,3	i-ˈrō-zhən	VC1VCVC	_IHr1OWZIXn.
enthusiasm	VCCVCVVCVC	0,2,4,6,7	in-ˈthü-zē-ˌa-zəm	VCC1VCVVCVC	_EHnT1UWzIYAEzAXm.
please	CCVC	0	ˈplēz	CC1VC	_pl1IYz.
commit	CVCVC	0,2	kə-ˈmit	CVC1VC	_kAXm1IHt.
rubicund	CVCVCVCC	0,2,4	ˈrü-bi-(ˌ)kənd	C1VCVCVCC	_r1UWbIHkUXnd.
interaction	VCCVCVCCVC	0,2,5,7	ˌin-tər-ˈak-shən	1VCCVC=1VCCVC	_1IHntAXr=1AEkSIXn.
involute	VCCVCVC	0,2,4	ˈin-və-ˌlüt	2VC CVC1VC	~2IHn _vAXl1UWt.
perpetual	CVCCVCVCVC	0,3,5,7	pər-ˈpe-chə-wəl	CVCC1VCVVC	_pAXrp1EHCUWAXl.
culinary	CVCVCVCV	0,2,4,7	ˈkə-lə-ˌner-ē	C1VCVCVCV	_k1UXlIXnEHrIY.
rejuvenate	CVCVCVCVC	0,2,4,6	ri-ˈjü-və-ˌnāt	CVC1VCVCVC	_rIXJ1UWvAXnEYt.
lighten	CVCVC	0,2	ˈlī-tən	C1VCVC	_l1AYtIXn.
underrate	VCCVCCVC	0,2,5	ˌən-də(r)-ˈrāt	1VCCVCC1VC	_1UXndAXrr1EYt.
cadmium	CVCCVVC	0,3,5	ˈkad-mē-əm	C1VCCVVC	_k1AEdmIYIXm.
practice	CCVCCVC	0,4	ˈprak-təs	CC1VCCVC	_pr1AEktIXs.
skeleton	CCVCVCVC	0,3,5	ˈske-lə-tən	CC1VCVCVC	_sk1EHlIXtIXn.
detonate	CVCVCVC	0,2,5	ˈde-tən-ˌāt	C1VCVCVC	_d1EHtIXnEYt.
dime	CVC	0	ˈdīm	C1VC	_d1AYm.
regurgitation	CVCVCCVCVCVC	0,2,5,7,9	(ˌ)rē-ˌgər-jə-ˈtā-shən	CVCVCCVC1VCVC	_rIXgAXrJIXt1EYSIXn.
scant	CCVCC	0	ˈskant	CC1VCC	_sk1AEnt.
bookkeeper	CVCCVCVC	0,3,5	ˈbu̇k-ˌkē-pər	C1VC=CVCVC	_b1UHk=kIYpAXr.
croon	CCVC	0	ˈkrün	CC1VC	_kr1UWn.
piecemeal	CVCCVC	0,3	ˈpēs-ˌmēl	C1VCCVC	_p1IYsmIYl.
weekly	CVCCV	0,2	ˈwē-klē	C1VC=CV	_w1IYk=lIY.
growl	CCVVC	0,3	ˈgrau̇(-ə)l	CC1VC	_gr1AWl.
patriarch	CVCCVVCC	0,2,5	ˈpā-trē-ˌärk	C1VCCVVCC	_p1EYtrIYAArk.
equally	VCCVCV	0,1,4	ˈē-kwə-lē	1VCCVCV	_1IYkwAXlIY.
twist	CCVCC	0	ˈtwist	CC1VCC	_tw1IHst.
scope	CCVC	0	ˈskōp	CC1VC	_sk1OWp.
dentition	CVCCVCVC	0,3,5	den-ˈti-shən	CVCC1VCVC	_dEHnt1IHSIXn.
sycophantic	CVCVCVCCVC	0,2,4,7	ˌsi-kə-ˈfan-tik	C1VCVCVCCVC	_s1IHkAXfIXntIHk.
deanery	CVCCV	0,3	ˈdēn-rē	C1VCVCCV	_d1IYnAXrrIY.
hoodlum	CVCCVC	0,3	ˈhüd-ləm	C1VCCVC	_h1UHdlAXm.
defamation	CVCVCVCVC	0,2,4,6	ˌde-fə-ˈmā-shən	C1VCVC1VCVC	_d1EHfAXm1EYSIXn.
glamour	CCVCVC	0,3	ˈgla-mər	CC1VCVC	_gl1AEmAXr.
decrypt	CVCCVCC	0,2	(ˌ)dē-ˈkript	C1VCCVCC	_d1IYkrIHpt.
natural	CVCVCVC	0,2,4	ˈna-chə-rəl	C1VCVCCVC	_n1AECAXrrAXl.
glassware	CCVCCVC	0,4	ˈglas-ˌwer	CC1VCCVC	_gl1AEswEHr.
harlequin	CVCCVCCVC	0,3,5	ˈhär-li-k(w)ən	C1VCCVCCVC	_h1AArlIXkwIXn.
official	VCVCVC	0,1,3	ə-ˈfi-shəl	VC1VCVC	_AXf1IHSAXl.
witchery	CVCVCV	0,2,4	ˈwi-chə-rē	C1VCVCCV	_w1IHCAXrrIY.
caste	CVCC	0	ˈkast	C1VCC	_k1AEst.
wether	CVCVC	0,2	ˈwe-thər	C1VC C2VC	_w1EHt ~h2AXr.
sextet	CVCCCVC	0,4	seks-ˈtet	CVCCC1VC	_sEHkst1EHt.
amend	VCVCC	0,1	ə-ˈmend	VC1VCC	_AXm1EHnd.
ice	VC	0	ˈīs	1VC	_1AYs.
forgive	CVCCVC	0,3	fər-ˈgiv	CVCC1VC	_fAXrg1IHv.
planetarium	CCVCVCVCVVC	0,3,5,8,9	ˌpla-nə-ˈter-ē-əm	CC1VCVC1VCVVC	_pl1AEnIXt1EHrIYIXm.
amiss	VCVC	0,1	ə-ˈmis	VC1VC	_AXm1IHs.
bass	CVC	0	ˈbas	C1VC	_b1EYs.
lynx	CVCCC	0	ˈliŋ(k)s	C1VCCC	_l1IHNks.
fascination	CVCVCVCVC	0,2,4,6	ˌfa-sə-ˈnā-shən	CVCVC1VCVC	_fAEsIXn1EYSIXn.
pence	CVCC	0	ˈpen(t)s	C1VCC	_p1EHns.
interrupt	VCCVCVCC	0,2,4	ˌin-tə-ˈrəpt	1VCCVCC1VCC	_1IHntAXrr1UXpt.
unilateralism	VCVCVCVCVCVCVC	0,1,3,5,7,9,11	ˌyü-ni-ˈla-t(ə-)rə-ˌli-zəm	CVCVC1VCVCCVC=VCVC	_yUWnIXl1AEtAXrrAXl=IXzAXm.
pettish	CVCVC	0,2	ˈpe-tish	C1VC=VC	_p1EHt=IXS.
hexane	CVCCVC	0,3	ˈhek-ˌsān	C1VCCVC	_h1EHksEYn.
provenance	CCVCCVCC	0,4	ˈpräv-nən(t)s	CC1VCVCVCC	_pr1AAvAXnIXns.
dud	CVC	0	ˈdəd	C1VC	_d1UXd.
stricken	CCCVCVC	0,4	ˈstri-kən	CCC1VCVC	_str1IHkIXn.
ostentatious	VCCVCCVCVC	0,2,5,7	ˌäs-tən-ˈtā-shəs	VCCVCC1VCVC	_AAstEHnt1EYSIXs.
beguile	CVCVVC	0,2,4	bi-ˈgī(-ə)l	CVC1VC	_bIHg1AYl.
eccentric	VCCVCCCVC	0,2,5	ik-ˈsen-trik	VCC1VCCCVC	_IHks1EHntrIHk.
roughly	CVCCV	0,2	ˈrə-flē	C1VC=CV	_r1UXf=lIY.
comfortable	CVCCCVCCVC	0,4,7	ˈkəm(p)(f)-tə(r)-bəl	C1VCCCVCCVC	_k1UXmftAXrbAXl.
